,Survived,Pclass,Fare,Gender,AgeFill,Cabin_t,Embarked_t,FamilySize,Age*Class,Fare_Cat,Age_Cat
0,0,3,7.25,1,22.0,0,1,1,66.0,3.0,2.0
1,1,1,71.2833,0,38.0,1,2,1,38.0,1.0,3.0
2,1,3,7.925,0,26.0,0,1,0,78.0,3.0,2.0
3,1,1,53.1,0,35.0,1,1,1,35.0,2.0,2.0
4,0,3,8.05,1,35.0,0,1,0,105.0,3.0,2.0
5,0,3,8.4583,1,25.0,0,3,0,75.0,3.0,2.0
6,0,1,51.8625,1,54.0,1,1,0,54.0,2.0,3.0
7,0,3,21.075,1,2.0,0,1,4,6.0,2.0,1.0
8,1,3,11.1333,0,27.0,0,1,2,81.0,2.0,2.0
9,1,2,30.0708,0,14.0,0,2,1,28.0,2.0,1.0
10,1,3,16.7,0,4.0,1,1,2,12.0,2.0,1.0
11,1,1,26.55,0,58.0,1,1,0,58.0,2.0,3.0
12,0,3,8.05,1,20.0,0,1,0,60.0,3.0,2.0
13,0,3,31.275,1,39.0,0,1,6,117.0,2.0,3.0
14,0,3,7.8542,0,14.0,0,1,0,42.0,3.0,1.0
15,1,2,16.0,0,55.0,0,1,0,110.0,2.0,3.0
16,0,3,29.125,1,2.0,0,3,5,6.0,2.0,1.0
17,1,2,13.0,1,30.0,0,1,0,60.0,2.0,2.0
18,0,3,18.0,0,31.0,0,1,1,93.0,2.0,2.0
19,1,3,7.225,0,21.5,0,2,0,64.5,3.0,2.0
20,0,2,26.0,1,35.0,0,1,0,70.0,2.0,2.0
21,1,2,13.0,1,34.0,1,1,0,68.0,2.0,2.0
22,1,3,8.0292,0,15.0,0,3,0,45.0,3.0,1.0
23,1,1,35.5,1,28.0,1,1,0,28.0,2.0,2.0
24,0,3,21.075,0,8.0,0,1,4,24.0,2.0,1.0
25,1,3,31.3875,0,38.0,0,1,6,114.0,2.0,3.0
26,0,3,7.225,1,25.0,0,2,0,75.0,3.0,2.0
27,0,1,263.0,1,19.0,1,1,5,19.0,1.0,2.0
28,1,3,7.8792,0,21.5,0,3,0,64.5,3.0,2.0
29,0,3,7.8958,1,25.0,0,1,0,75.0,3.0,2.0
30,0,1,27.7208,1,40.0,0,2,0,40.0,2.0,3.0
31,1,1,146.5208,0,35.0,1,2,1,35.0,1.0,2.0
32,1,3,7.75,0,21.5,0,3,0,64.5,3.0,2.0
33,0,2,10.5,1,66.0,0,1,0,132.0,2.0,3.0
34,0,1,82.1708,1,28.0,0,2,1,28.0,1.0,2.0
35,0,1,52.0,1,42.0,0,1,1,42.0,2.0,3.0
36,1,3,7.2292,1,25.0,0,2,0,75.0,3.0,2.0
37,0,3,8.05,1,21.0,0,1,0,63.0,3.0,2.0
38,0,3,18.0,0,18.0,0,1,2,54.0,2.0,2.0
39,1,3,11.2417,0,14.0,0,2,1,42.0,2.0,1.0
40,0,3,9.475,0,40.0,0,1,1,120.0,3.0,3.0
41,0,2,21.0,0,27.0,0,1,1,54.0,2.0,2.0
42,0,3,7.8958,1,25.0,0,2,0,75.0,3.0,2.0
43,1,2,41.5792,0,3.0,0,2,3,6.0,2.0,1.0
44,1,3,7.8792,0,19.0,0,3,0,57.0,3.0,2.0
45,0,3,8.05,1,25.0,0,1,0,75.0,3.0,2.0
46,0,3,15.5,1,25.0,0,3,1,75.0,2.0,2.0
47,1,3,7.75,0,21.5,0,3,0,64.5,3.0,2.0
48,0,3,21.6792,1,25.0,0,2,2,75.0,2.0,2.0
49,0,3,17.8,0,18.0,0,1,1,54.0,2.0,2.0
50,0,3,39.6875,1,7.0,0,1,5,21.0,2.0,1.0
